,Definition,Author,Year,Clean Definitions
65,"By organising economic activities in a closed loop of materials, the CE policy promotes harmony between the economic system and the ecosystem (CCICED 2003). This promotes new types of industrialisation, including ‘product and service design to promote reduce, reuse and recycling of materials’ and ‘sustainable product and service design’. In this regard, Stahel (1982) developed a conceptual and methodological framework of great value to planning and implementing a more CE in China, based on product life extension, the service or functional economy, and the notion of products as service carriers. Thus, improving resource efficiency is an important element of the CE (the subject of research by the China Research Centre for Economic Transition) and of a pilot study to develop and implement the policy within the city of Guiyang (Kuhndt et al. 2007). ",Ness,2008,"by organising economic activities in a closed loop of materials, the circular economy policy promotes harmony between the economic system and the ecosystem . this promotes new types of industrialisation, including product and service design to promote reduce, reuse and recycling of materials and sustainable product and service design. in this regard, stahel  developed a conceptual and methodological framework of great value to planning and implementing a more circular economy in china, based on product life extension, the service or functional economy, and the notion of products as service carriers. thus, improving resource efficiency is an important element of the circular economy  and of a pilot study to develop and implement the policy within the city of guiyang . "
35,"The Chinese people have chosen to use the term ‘circular economy’ as the working language of EID. The terminology may not be very familiar to Western readers, but in China it is understood to mean the realisation of a closed loop of materials flow in the whole economic system. Different from the traditional linear production model, a circular economy approach encourages the organisation of economic activities with feedback processes which mimic natural ecosystems through a process of ‘natural resources→transformation into manufactured products → byproducts of manufacturing used as resources for other industries.’ In essence, the circular economy approach is the same as the more familiar terms EID and ‘industrial ecology’, and fits comfortably within a broad range of ecological modernisation initiatives pioneered around the world. The Chinese circular economy concept comes originally from Germany and Japan, where there was a desire to form a more closed loop society (Wang et al. 2004). It advocates that economic systems could and should operate according to the materials and energy cycling principles that drive natural systems. These include ecosystemic self-sustaining properties, through the recycling of essential materials and energy, the capacity for one organism’s wastes to be used as a resource by another organism, and through self-organisation capacities.",Geng & Doberstein,2008,"the chinese people have chosen to use the term circular economy as the working language of eid. the terminology may not be very familiar to western readers, but in china it is understood to mean the realisation of a closed loop of materials flow in the whole economic system. different from the traditional linear production model, a circular economy approach encourages the organisation of economic activities with feedback processes which mimic natural ecosystems through a process of natural resources→transformation into manufactured products → byproducts of manufacturing used as resources for other industries. in essence, the circular economy approach is the same as the more familiar terms eid and industrial ecology, and fits comfortably within a broad range of ecological modernisation initiatives pioneered around the world. the chinese circular economy concept comes originally from germany and japan, where there was a desire to form a more closed loop society . it advocates that economic systems could and should operate according to the materials and energy cycling principles that drive natural systems. these include ecosystemic self sustaining properties, through the recycling of essential materials and energy, the capacity for one organisms wastes to be used as a resource by another organism, and through self organisation capacities."
38,"It is believed that such EIP initiatives could bring great environmental, economic, and social benefits as a contribution to ecologically sustainable industrial development and China’s national circular economy program. This program includes initiatives related to cleaner production and ecodesign (at the company level), industrial symbiosis and EIPs (at the industrial cluster lever), and, more broadly, the regional eco-industrial network (at the regional level; Geng and Liu 2006).","Geng, Zhang, Côté, & Fujita",2009,"it is believed that such eip initiatives could bring great environmental, economic, and social benefits as a contribution to ecologically sustainable industrial development and chinas national circular economy program. this program includes initiatives related to cleaner production and ecodesign , industrial symbiosis and eips , and, more broadly, the regional eco industrial network ."
55,"China’s leadership, inspired by Japanese and German Recycling Economy Laws, has formed a Circular Economy (CE) initiative in order to decouple the economic growth from environmental degradation, as well as build an environmental-friendly and resource-saving society. ‘‘The CE in practice’’ aims at realizing waste minimization, environmental conservation, energy efficiency and economic development simultaneously, so it equals to a package of the all-round, systematic strategies and tools approaching the goals mentioned above. ‘‘3R’’ principle – reduction, reusing, and recycling of materials and energy – are often cited to describe the three possible approaches in practice. However, ‘‘the CE in theory’’ belongs to the field of ecological economics which owns the theoretical premise that the economic system is an open subsystem of the earth’s ecological system with limited resource and environment capability. As the unbalanced material exchange between the ecosystem and the socioeconomic system have taken place on the stage of industrialization, the circular economy defines its mission as solving the problems from the perspective of reducing the material flux and making the material flow balanced between the ecosystem and the socioeconomic system. ","Liu, Li, Zuo, Zhang, & Wang",2009,"chinas leadership, inspired by japanese and german recycling economy laws, has formed a circular economy  initiative in order to decouple the economic growth from environmental degradation, as well as build an environmental friendly and resource saving society. the circular economy in practice aims at realizing waste minimization, environmental conservation, energy efficiency and economic development simultaneously, so it equals to a package of the all round, systematic strategies and tools approaching the goals mentioned above. 3r principle – reduction, reusing, and recycling of materials and energy – are often cited to describe the three possible approaches in practice. however, the circular economy in theory belongs to the field of ecological economics which owns the theoretical premise that the economic system is an open subsystem of the earths ecological system with limited resource and environment capability. as the unbalanced material exchange between the ecosystem and the socioeconomic system have taken place on the stage of industrialization, the circular economy defines its mission as solving the problems from the perspective of reducing the material flux and making the material flow balanced between the ecosystem and the socioeconomic system. "
108,"Circular economy is a mode of economic development based on the circulation of resources. CE requires compliance with ecological laws and sound utilization of natural resources to achieve economic development, i.e., it is essentially an ecological economy that follows the principles of ’’reducing resource use, reusing, and recycling’’ (Feng and Yan 2007).",Zhang et al.,2009,"circular economy is a mode of economic development based on the circulation of resources. circular economy requires compliance with ecological laws and sound utilization of natural resources to achieve economic development, i.e., it is essentially an ecological economy that follows the principles of reducing resource use, reusing, and recycling ."
98,"On that point, the central government has started to give the same priority in policy making on environmental sustainability as on economic viability through a new “circular economy” strategy aimed at transforming the current “linear” economy into a “circular” one (NCPC 2004).","Wang, Shi, Hu, Xu, & Sun",2010,"on that point, the central government has started to give the same priority in policy making on environmental sustainability as on economic viability through a new circular economy strategy aimed at transforming the current linear economy into a circular one ."
39,"China has a number of evolving regulatory policies related to industrial park and regional development programs and their implication on the environment. One of these major policies is the ‘circular economy’. The circular economy policy is meant to encourage resource-use efficiency and integrates cleaner production and industrial ecology in a broader system encompassing industrial firms, networks or chains of firms, eco-industrial parks, and regional infrastructure to support resource optimization (Geng and Doberstein, 2008; Park et al., 2010; Sarkis and Zhu, 2008; Zhu et al., 2010). (page 5278). Just as in natural ecosystems, interconnected entities form symbiotic relationships to assure survival and resource efficiency. For business, value is added as its waste byproducts, water, and energy are cycled back into the overall production stream of local region (Geng and Doberstein, 2008). Such a closing of the loop results into higher conservation of natural resources and lower disposal and production costs. (page 5282)","Geng, Zhang, Ulgiati, & Sarkis",2010,"china has a number of evolving regulatory policies related to industrial park and regional development programs and their implication on the environment. one of these major policies is the circular economy. the circular economy policy is meant to encourage resource use efficiency and integrates cleaner production and industrial ecology in a broader system encompassing industrial firms, networks or chains of firms, eco industrial parks, and regional infrastructure to support resource optimization . . just as in natural ecosystems, interconnected entities form symbiotic relationships to assure survival and resource efficiency. for business, value is added as its waste byproducts, water, and energy are cycled back into the overall production stream of local region . such a closing of the loop results into higher conservation of natural resources and lower disposal and production costs. "
51,"The concept of circular economy broadly accepts that an economic growth and development system to integrate economy with resources and environmental factors is based on the material metabolism mode of ‘‘resource-product-regenerated resource’’, which incorporates a mechanism of efficient resource use and waste stream feedback, while its metabolism is compatible with the whole ecosystem. For the system, the reduction of resources, energy, and waste stream through the lifecycle of products and the increase in economic output and effectiveness can be achieved simultaneously by improving resource productivity (or eco-efficiency). There are three principles of circular economy, namely to reduce, to reuse and to recycle. And it is generally achieved at three levels. At the level of enterprises, circular economy mainly focuses on cleaner production. At the regional level, circular economy emphasizes structuring a substance recycling eco-industrial park. At the national level, circular economy represents a new pattern of economic operation and aims to create a recycling oriented society. ","Li, Bao, Xiu, Zhang, & Xu",2010,"the concept of circular economy broadly accepts that an economic growth and development system to integrate economy with resources and environmental factors is based on the material metabolism mode of resource product regenerated resource, which incorporates a mechanism of efficient resource use and waste stream feedback, while its metabolism is compatible with the whole ecosystem. for the system, the reduction of resources, energy, and waste stream through the lifecycle of products and the increase in economic output and effectiveness can be achieved simultaneously by improving resource productivity . there are three principles of circular economy, namely to reduce, to reuse and to recycle. and it is generally achieved at three levels. at the level of enterprises, circular economy mainly focuses on cleaner production. at the regional level, circular economy emphasizes structuring a substance recycling eco industrial park. at the national level, circular economy represents a new pattern of economic operation and aims to create a recycling oriented society. "
110,"The CE model has been implemented at three levels, namely, eco-regions at the macro-level, eco-industrial parks at the meso-level, and eco-enterprises at the micro-level (Yuan et al., 2006). CE practices encompass environmental protection requirements on reduction, reuse, and recycling (3Rs) with an emphasis on achieving the dual environmental and economic performance goals.","Zhu, Geng, & Lai",2010,"the circular economy model has been implemented at three levels, namely, eco regions at the macro level, eco industrial parks at the meso level, and eco enterprises at the micro level . circular economy practices encompass environmental protection requirements on reduction, reuse, and recycling  with an emphasis on achieving the dual environmental and economic performance goals."
111,Industrial solid waste recycling accords with the 3R rule of circular economy. This indicator reflects the level of material re-used and recycled in an enterprise. The value is a ratio of the total annual industrial solid waste recycled to the total industrial solid waste produced per year.,"Zhu, Zhou, Cui, & Liu",2010,industrial solid waste recycling accords with the 3r rule of circular economy. this indicator reflects the level of material re used and recycled in an enterprise. the value is a ratio of the total annual industrial solid waste recycled to the total industrial solid waste produced per year.
104,"The circular economy is such kind of economic mode which takes the efficient and circular use of resources as its core , the “3R”( reduce, reuse and recycle) as its principles, is characteristic with closed-loop material cycle and cascade of energy use, and runs according to the way of natural material circulate and the energy flow.",Yan & Wu,2011,"the circular economy is such kind of economic mode which takes the efficient and circular use of resources as its core , the 3r as its principles, is characteristic with closed loop material cycle and cascade of energy use, and runs according to the way of natural material circulate and the energy flow."
1,"The UK government has extensively promoted a waste hierarchy of “reduce, re-use, recycle” (DoETR, 1995) now taken up in China as the ‘Circular Economy’ (Yuan et al., 2006), of which the first two options describe material efficiency, but in reality much policy has been oriented towards promoting the third (Bulkeley and Gregson, 2009).","Allwood, Ashby, Gutowski, & Worrell",2011,"the uk government has extensively promoted a waste hierarchy of reduce, re use, recycle  now taken up in china as the circular economy , of which the first two options describe material efficiency, but in reality much policy has been oriented towards promoting the third ."
101,"Recently, it has become increasingly important to shift businesses from participating in a flow economy (producing high amounts of useless waste) to participating in a circular economy, where most used products, scraps, residual materials, and other waste materials are collected, conditioned, and reused or recycled to improve material efficiency and profitability.",Winkler,2011,"recently, it has become increasingly important to shift businesses from participating in a flow economy  to participating in a circular economy, where most used products, scraps, residual materials, and other waste materials are collected, conditioned, and reused or recycled to improve material efficiency and profitability."
50,"In 2002, the ‘circular economy’ (CE) concept was accepted as a new development strategy by the central government (Yuan et al., 2006). CE aims at a closed-loop flow of materials, energy, and waste. It relies mostly on the same principles that industrial ecology applies. China launched an industrial park-wide ISO 14001 demonstration programme in 1999 and an EIP demonstration programme in 2000 (Chiu and Yong, 2004; Fang et al., 2007; Shi et al., 2010). ","Lehtoranta, Nissinen, & Mattila",2011,"in 2002, the circular economy  concept was accepted as a new development strategy by the central government . circular economy aims at a closed loop flow of materials, energy, and waste. it relies mostly on the same principles that industrial ecology applies. china launched an industrial park wide iso 14001 demonstration programme in 1999 and an eip demonstration programme in 2000 . "
43,"The circular economy represents a development strategy that maximises resource efficiency and minimises waste production, within the context of sustainable economic and social development",Hislop & Hill,2011,"the circular economy represents a development strategy that maximises resource efficiency and minimises waste production, within the context of sustainable economic and social development"
80,"It is generally recognized that reduce, reuse, and recycle (3R) and waste management policies form the basis of developing a material cycles society. However, 3R and waste management policies differ among countries owing to each country’s particular circumstances or political strategies.",Sakai et al.,2011,"it is generally recognized that reduce, reuse, and recycle  and waste management policies form the basis of developing a material cycles society. however, 3r and waste management policies differ among countries owing to each countrys particular circumstances or political strategies."
94,"Since 2006, China has run nationwide mandatory energy saving and pollution reduction programmes to address what Chinese researchers refer to as ‘low resource efficiency’ and ‘high pollution levels’. The so-called ‘circular economy’ strategies were implemented to address the linear process from primary resources to products and further to postconsumption wastes. In addition to the key ‘circular economy’ policies such as the Law on Circular Economy Promotion, other measures included the Law on Cleaner Production Promotion, management and taxation policies for comprehensive utilization of wastes and used resources; Assessment Standards to evaluate ecoindustrial parks and set out codes for their establishment; green procurement by governmental agencies and public institutions; and investment policies for piloting the circular economy, including a special fund to support pilot projects.",UNEP,2011,"since 2006, china has run nationwide mandatory energy saving and pollution reduction programmes to address what chinese researchers refer to as low resource efficiency and high pollution levels. the so called circular economy strategies were implemented to address the linear process from primary resources to products and further to postconsumption wastes. in addition to the key circular economy policies such as the law on circular economy promotion, other measures included the law on cleaner production promotion, management and taxation policies for comprehensive utilization of wastes and used resources; assessment standards to evaluate ecoindustrial parks and set out codes for their establishment; green procurement by governmental agencies and public institutions; and investment policies for piloting the circular economy, including a special fund to support pilot projects."
68,"Improving resource productivity through sustainable materials management requires integrated life-cycle based policies for waste, materials and products, such as circular economy or 3R related initiatives, integrated supply chain management, and the use of instruments aimed at stimulating technological change. It also implies internalising the costs of waste management into prices of consumer goods and of waste management services; and ensuring greater cost-effectiveness and full public involvement in designing measures.",OECD,2011,"improving resource productivity through sustainable materials management requires integrated life cycle based policies for waste, materials and products, such as circular economy or 3r related initiatives, integrated supply chain management, and the use of instruments aimed at stimulating technological change. it also implies internalising the costs of waste management into prices of consumer goods and of waste management services; and ensuring greater cost effectiveness and full public involvement in designing measures."
56,"To achieve those goals, China is specifying a range of means, such as closing down inefficient factories and power plants—but also including the implementation of circular economy measures, through interconnecting the chains of resource and energy utilization. In this approach, wastes from one process can be captured and used as raw material for another, with energy generation being shared along the value chain, as an explicit developmental goal.",Mathews & Tan,2011,"to achieve those goals, china is specifying a range of means, such as closing down inefficient factories and power plants—but also including the implementation of circular economy measures, through interconnecting the chains of resource and energy utilization. in this approach, wastes from one process can be captured and used as raw material for another, with energy generation being shared along the value chain, as an explicit developmental goal."
102,"The concept “circular economy” describes an industrial economy in which material flows keep circulating at a high rate (in terms of quality, property, function, range of use) without the materials entering the biosphere, unless they are biological nutrients",WRF,2012,"the concept circular economy describes an industrial economy in which material flows keep circulating at a high rate  without the materials entering the biosphere, unless they are biological nutrients"
76,"A ‘circular economy’ (CE) is an approach that would transform the function of resources in the economy. Waste from factories would become a valuable input to another process – and products could be repaired, reused or upgraded instead of thrown away.",Preston,2012,"a circular economy  is an approach that would transform the function of resources in the economy. waste from factories would become a valuable input to another process – and products could be repaired, reused or upgraded instead of thrown away."
46,"A circular economy is an industrial system that is restorative or regenerative by intention and design. It replaces the ‘end-of-life’ concept with restoration, shifts towards the use of renewable energy, eliminates the use of toxic chemicals, which impair reuse, and aims for the elimination of waste through the superior design of materials, products, systems, and, within this, business models.",Ellen MacArthur Foundation,2012,"a circular economy is an industrial system that is restorative or regenerative by intention and design. it replaces the end of life concept with restoration, shifts towards the use of renewable energy, eliminates the use of toxic chemicals, which impair reuse, and aims for the elimination of waste through the superior design of materials, products, systems, and, within this, business models."
45,"Enabled by the evolution of applied industrial ecology, it is increasingly possible to use waste as input in production processes (Commoner, 1997; Ehrenfeld, 1997; Erkman, 1997; Frosch, 1992; Harper and Graedel, 2004). In such circular material management, recycling is a complement to and even replacement for the extraction of ‘virgin’ materials. European Union policy reflects the shift from waste as problem to waste as resource (Corvellec and Hultman, 2012; Watson, 2009). EU waste and environmental policy is effected through the European Waste Hierarchy (EWH) (EC, 2008a).",Hultman & Corvellec,2012,"enabled by the evolution of applied industrial ecology, it is increasingly possible to use waste as input in production processes . in such circular material management, recycling is a complement to and even replacement for the extraction of virgin materials. european union policy reflects the shift from waste as problem to waste as resource . eu waste and environmental policy is effected through the european waste hierarchy  ."
36,"A CE is an industrial system focused on closing the loop for material and energy flows and contributing to long-term sustainability. CE incorporates policies and strategies for more efficient energy, materials, and water consumption, while emitting minimal waste into the environment.","Geng, Fu, Sarkis, & Xue",2012,"a circular economy is an industrial system focused on closing the loop for material and energy flows and contributing to long term sustainability. circular economy incorporates policies and strategies for more efficient energy, materials, and water consumption, while emitting minimal waste into the environment."
0,"A circular economy is a restorative industrial economy in which materials flows are of two types: biological nutrients, designed to re-enter the biosphere safely, and technical nutrients (non-biological materials), which are designed to circulate at high quality, with their economic value preserved or enhanced.",Aldersgate,2012,"a circular economy is a restorative industrial economy in which materials flows are of two types: biological nutrients, designed to re enter the biosphere safely, and technical nutrients , which are designed to circulate at high quality, with their economic value preserved or enhanced."
15,"Throughout this paper, the circular economy is understood as a system that is designed to be restorative and regenerative; restoration replaces the ‘end-of-life’ concept for products, energy systems are shifted towards renewable technologies, toxic chemicals that impair reuse are eliminated and waste is eliminated to the greatest extent possible through improved materials, products and systems design (Ellen MacArthur Foundation 2012).",Charonis,2012,"throughout this paper, the circular economy is understood as a system that is designed to be restorative and regenerative; restoration replaces the end of life concept for products, energy systems are shifted towards renewable technologies, toxic chemicals that impair reuse are eliminated and waste is eliminated to the greatest extent possible through improved materials, products and systems design ."
16,"If cascading is conceptually stepwise, loop closing is more circular. A general name for many different variations of reuse and recycling of resources, loop closing occurs when a resource has a cyclical flow embedded in the industrial ecosystem and the resource, rather than being used in a degraded form, reappears akin to its original form.",Chertow,2012,"if cascading is conceptually stepwise, loop closing is more circular. a general name for many different variations of reuse and recycling of resources, loop closing occurs when a resource has a cyclical flow embedded in the industrial ecosystem and the resource, rather than being used in a degraded form, reappears akin to its original form."
8,The circular economy is a concept which is transforming traditional patterns of economic growth and production. A conventional perception of economic systems is that they are linear. The linear system is converted to a circular system when the connection between resource use and waste residuals is made.,Bilitewski,2012,the circular economy is a concept which is transforming traditional patterns of economic growth and production. a conventional perception of economic systems is that they are linear. the linear system is converted to a circular system when the connection between resource use and waste residuals is made.
73,"The circular economy is a generic term for an industrial economy that is, by design or intention, restorative, and in which material flows are of two types: biological nutrients (which are designed to re-enter the biosphere safely) and technical nutrients (which are designed to circulate at high quality without entering the biosphere). The term encompasses more than the production and consumption of goods and services, including a shift from fossil fuels to the use of renewable energy and the role of diversity as a characteristic of resilient and productive systems. ","Pingjing, Fan, Hua, & Liming",2013,"the circular economy is a generic term for an industrial economy that is, by design or intention, restorative, and in which material flows are of two types: biological nutrients  and technical nutrients . the term encompasses more than the production and consumption of goods and services, including a shift from fossil fuels to the use of renewable energy and the role of diversity as a characteristic of resilient and productive systems. "
90,"Yet, under the first law of thermodynamics where total energy and matter remains constant in a closed system, the open-ended system could be and should be converted to a circular [economy] system when considering the relationship between resource use and waste residuals. In another word, facing existing environmental problems and resource scarcity, they called for a need to contemplate earth as a closed economic system: one in which the economy and the environment are not regarded by linear inter-linkages, but by a circular relationship (Boulding, 1966). In order to implement the CE, the 3R principles (Reduction, Reuse, and Recycle) have been embedded in production and consumption since the flow of materials and energy penetrates in both areas (Zhu and Qiu, 2007). ",Su et al.,2013,"yet, under the first law of thermodynamics where total energy and matter remains constant in a closed system, the open ended system could be and should be converted to a circular economy system when considering the relationship between resource use and waste residuals. in another word, facing existing environmental problems and resource scarcity, they called for a need to contemplate earth as a closed economic system: one in which the economy and the environment are not regarded by linear inter linkages, but by a circular relationship . in order to implement the ce, the 3r principles  have been embedded in production and consumption since the flow of materials and energy penetrates in both areas . "
89,"In another word, facing existing environmental problems and resource scarcity, they called for a need to contemplate earth as a closed economic system: one in which the economy and the environment are not regarded by linear inter-linkages, but by a circular relationship (Boulding, 1966). Through an analysis on the relationship between economic and natural systems, they proposed a closed-loop of material flows in the economy, which was named, circular economy. ","Su, Heshmati, Geng, & Yu",2013,"in another word, facing existing environmental problems and resource scarcity, they called for a need to contemplate earth as a closed economic system: one in which the economy and the environment are not regarded by linear inter linkages, but by a circular relationship . through an analysis on the relationship between economic and natural systems, they proposed a closed loop of material flows in the economy, which was named, circular economy. "
